date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:47:50	5086/5086	---M--	200	added ('OK')	image/png	etag:%222/26/2020%202:42:31%20PM%22	https://www.tql.com/getmedia/f95d2916-8026-4c5b-95a1-e9184a681d7a/Fortune_2020.png.aspx?width=340&height=234&ext=.png	D:/work/tql/www.tql.com/getmedia/f95d2916-8026-4c5b-95a1-e9184a681d7a/Fortune_2020f668.png	(from https://www.tql.com/)
15:47:51	37108/37108	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:49%20GMT	https://www.tql.com/about-us/lifeattql-blog/may-2020/tql-named-to-inc-magazine%e2%80%99s-best-workplaces-list	D:/work/tql/www.tql.com/about-us/lifeattql-blog/may-2020/tql-named-to-inc-magazine%e2%80%99s-best-workplaces-list.html	(from https://www.tql.com/)
15:47:52	28500/28500	---M--	200	added ('OK')	image/png	etag:%225/6/2020%201:31:07%20PM%22	https://www.tql.com/getmedia/c2e71649-580d-4567-b8bd-4dada8305142/Inc-Best-Workplaces-2020-Standard-Logo_Home-Page.png.aspx?width=340&height=234&ext=.png	D:/work/tql/www.tql.com/getmedia/c2e71649-580d-4567-b8bd-4dada8305142/Inc-Best-Workplaces-2020-Standard-Logo_Home-Pagef668.png	(from https://www.tql.com/)
15:47:54	29450/29450	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:51%20GMT	https://www.tql.com/hq-expansion	D:/work/tql/www.tql.com/hq-expansion.html	(from https://www.tql.com/)
15:47:54	10843/10843	---M--	200	added ('OK')	image/png	etag:%225/20/2020%201:58:41%20PM%22	https://www.tql.com/getmedia/ab308d0b-0156-4d45-9bb8-0587c4ac7751/Expansion_HomepageGraphic.png.aspx?width=340&height=234&ext=.png	D:/work/tql/www.tql.com/getmedia/ab308d0b-0156-4d45-9bb8-0587c4ac7751/Expansion_HomepageGraphicf668.png	(from https://www.tql.com/)
15:47:55	136/136	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Sep%202020%2012:47:53%20GMT	https://www.tql.com/Logistics-Services	D:/work/tql/www.tql.com/Logistics-Services.3c.delayed	(from https://www.tql.com/)
15:47:56	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Sep%202020%2012:47:54%20GMT	https://www.tql.com/carriers/get-setup	D:/work/tql/www.tql.com/carriers/get-setup.3d.delayed	(from https://www.tql.com/)
15:47:57	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Sep%202020%2012:47:55%20GMT	https://www.tql.com/carriers/load-board	D:/work/tql/www.tql.com/carriers/load-board.3e.delayed	(from https://www.tql.com/)
15:47:59	67821/67821	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:56%20GMT	https://www.tql.com/privacy	D:/work/tql/www.tql.com/privacy.html	(from https://www.tql.com/)
15:47:59	123/123	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Sep%202020%2012:47:57%20GMT	https://www.tql.com/special-items/terms	D:/work/tql/www.tql.com/special-items/terms.40.delayed	(from https://www.tql.com/)
15:48:01	43080/43080	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:47:59%20GMT	https://www.tql.com/terms	D:/work/tql/www.tql.com/terms.html	(from https://www.tql.com/)
15:48:02	25440/25440	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:48:00%20GMT	https://www.tql.com/eeo	D:/work/tql/www.tql.com/eeo.html	(from https://www.tql.com/)
15:48:03	139/139	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Sep%202020%2012:48:01%20GMT	https://www.tql.com/responsible-care	D:/work/tql/www.tql.com/responsible-care.43.delayed	(from https://www.tql.com/)
15:48:05	27056/27056	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:48:02%20GMT	https://www.tql.com/responsiblecarepolicy	D:/work/tql/www.tql.com/responsiblecarepolicy.html	(from https://www.tql.com/)
15:48:06	31842/31842	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:48:04%20GMT	https://www.tql.com/sitemap	D:/work/tql/www.tql.com/sitemap.html	(from https://www.tql.com/)
15:48:07	125/125	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Sep%202020%2012:48:05%20GMT	https://www.tql.com/special-items/privacy-terms	D:/work/tql/www.tql.com/special-items/privacy-terms.46.delayed	(from https://www.tql.com/)
15:48:07	0/-1	---M--	301	error ('')			https://www.tql.com/special-items/privacy-terms	D:/work/tql/www.tql.com/special-items/privacy-terms.47.delayed	(from https://www.tql.com/)
15:48:08	127/127	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Sep%202020%2012:48:06%20GMT	https://www.tql.com/logistics-services/request-a-quote/full-truckload-quote	D:/work/tql/www.tql.com/logistics-services/request-a-quote/full-truckload-quote.48.delayed	(from https://www.tql.com/)
15:48:10	58348/58348	---M-Z	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:48:07%20GMT	https://www.tql.com/ftl-quote	D:/work/tql/www.tql.com/ftl-quote.html	(from https://www.tql.com/)
15:48:10	612/612	---M--	200	added ('OK')	image/png	etag:%225/22/2019%207:30:57%20PM%22	https://www.tql.com/getmedia/afd3c4f1-2282-4b63-a2c3-c6741ce72623/FTL.png.aspx?width=52&height=52&ext=.png	D:/work/tql/www.tql.com/getmedia/afd3c4f1-2282-4b63-a2c3-c6741ce72623/FTLae81.png	(from https://www.tql.com/)
15:48:11	645/645	---M--	200	added ('OK')	image/png	etag:%225/22/2019%207:31:37%20PM%22	https://www.tql.com/getmedia/e892f8a9-a437-4687-a5e3-0e55f9f5687c/FTL_Blue.png.aspx?width=52&height=52&ext=.png	D:/work/tql/www.tql.com/getmedia/e892f8a9-a437-4687-a5e3-0e55f9f5687c/FTL_Blueae81.png	(from https://www.tql.com/)
15:48:12	614/614	---M--	200	added ('OK')	image/png	etag:%225/22/2019%207:31:50%20PM%22	https://www.tql.com/getmedia/8ddde915-e883-42f2-9e41-140645bff17f/LTL.png.aspx?width=52&height=52&ext=.png	D:/work/tql/www.tql.com/getmedia/8ddde915-e883-42f2-9e41-140645bff17f/LTLae81.png	(from https://www.tql.com/)
15:48:13	647/647	---M--	200	added ('OK')	image/png	etag:%225/22/2019%207:32:18%20PM%22	https://www.tql.com/getmedia/5cb356f4-5878-4ee4-8a55-db04e3573c14/LTL_blue.png.aspx?width=52&height=52&ext=.png	D:/work/tql/www.tql.com/getmedia/5cb356f4-5878-4ee4-8a55-db04e3573c14/LTL_blueae81.png	(from https://www.tql.com/)
15:48:14	134/134	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2007%20Sep%202020%2012:48:12%20GMT	https://www.tql.com/logistics-services/request-a-quote/intermodal-quote	D:/work/tql/www.tql.com/logistics-services/request-a-quote/intermodal-quote.4e.delayed	(from https://www.tql.com/)
15:48:15	54455/54455	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Sep%202020%2012:48:13%20GMT	https://www.tql.com/intermodal-quote	D:/work/tql/www.tql.com/intermodal-quote.html	(from https://www.tql.com/)
15:48:16	530/530	---M--	200	added ('OK')	image/png	etag:%225/22/2019%207:32:32%20PM%22	https://www.tql.com/getmedia/ac621f33-15fc-4aeb-8f6c-bb630e43a066/IDML.png.aspx?width=52&height=52&ext=.png	D:/work/tql/www.tql.com/getmedia/ac621f33-15fc-4aeb-8f6c-bb630e43a066/IDMLae81.png	(from https://www.tql.com/)
